exp_num,launch_mode,manip_order,condition_B,condition_C,sys_time,exp_time,process_name,lure,block_index,trial_index,stim_index,duration,rt,sn,choice,confidence,note
50,1440p_flscr,1,null,null,2025-03-27_19:40:30,774.613609699998,formal_punish_FA,punish_MS,2,2,1,0.75,3.088918099994771,1,1,4,null
50,1440p_flscr,1,null,null,2025-03-27_19:40:42,786.4886907999753,formal_punish_FA,punish_MS,2,3,1,0.75,3.494075300026452,0,0,-2,null
50,1440p_flscr,1,null,null,2025-03-27_19:40:50,794.4101334000006,formal_punish_FA,punish_MS,2,4,2,0.75,2.325161199987633,1,1,3,null
50,1440p_flscr,1,null,null,2025-03-27_19:40:58,802.6825557999837,formal_punish_FA,punish_MS,2,5,3,0.75,2.6031987000023946,1,1,3,null
50,1440p_flscr,1,null,null,2025-03-27_19:41:07,811.5685765999951,formal_punish_FA,punish_MS,2,6,2,0.75,3.424685599980876,0,0,-6,null
50,1440p_flscr,1,null,null,2025-03-27_19:41:15,819.3874129999895,formal_punish_FA,punish_MS,2,7,4,0.75,2.6713821000012103,1,1,3,null
50,1440p_flscr,1,null,null,2025-03-27_19:41:24,828.2143761999905,formal_punish_FA,punish_MS,2,8,5,0.75,3.6191852999909315,1,1,3,null
50,1440p_flscr,1,null,null,2025-03-27_19:41:32,836.2893303999736,formal_punish_FA,punish_MS,2,9,6,0.75,2.851420599996345,1,1,3,null
50,1440p_flscr,1,null,null,2025-03-27_19:41:39,843.8124981999863,formal_punish_FA,punish_MS,2,10,3,0.75,2.1971046999969985,0,0,-3,null
50,1440p_flscr,1,null,null,2025-03-27_19:41:47,851.3633410999901,formal_punish_FA,punish_MS,2,11,4,0.75,2.3966533000057098,0,0,-4,null
50,1440p_flscr,1,null,null,2025-03-27_19:41:57,861.6596879999852,formal_punish_FA,punish_MS,2,12,7,0.75,3.61681619999581,1,0,-2,null
50,1440p_flscr,1,null,null,2025-03-27_19:42:05,869.5871790999954,formal_punish_FA,punish_MS,2,13,8,0.75,2.4795914000133052,1,0,-2,null
50,1440p_flscr,1,null,null,2025-03-27_19:42:13,877.433441000001,formal_punish_FA,punish_MS,2,14,9,0.75,2.6561186999897473,1,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:42:22,886.7795349999797,formal_punish_FA,punish_MS,2,15,5,0.75,3.016331999999238,0,0,-4,null
50,1440p_flscr,1,null,null,2025-03-27_19:42:31,895.1883985999739,formal_punish_FA,punish_MS,2,16,10,0.75,2.1598227999929804,1,1,3,null
50,1440p_flscr,1,null,null,2025-03-27_19:42:38,902.2892211999861,formal_punish_FA,punish_MS,2,17,6,0.75,1.669430200010538,0,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:42:45,909.6694444000022,formal_punish_FA,punish_MS,2,18,11,0.75,2.0132684000127483,1,1,3,null
50,1440p_flscr,1,null,null,2025-03-27_19:42:53,917.8457666999893,formal_punish_FA,punish_MS,2,19,12,0.75,2.0251590000116266,1,1,3,null
50,1440p_flscr,1,null,null,2025-03-27_19:43:02,926.3684978999954,formal_punish_FA,punish_MS,2,20,7,0.75,2.7857509999885224,0,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:43:09,933.6409056999837,formal_punish_FA,punish_MS,2,21,8,0.75,2.041520099999616,0,0,-3,null
50,1440p_flscr,1,null,null,2025-03-27_19:43:18,942.2025730999885,formal_punish_FA,punish_MS,2,22,13,0.75,3.283215300005395,1,0,-2,null
50,1440p_flscr,1,null,null,2025-03-27_19:43:25,949.7910133999831,formal_punish_FA,punish_MS,2,23,9,0.75,2.15081600000849,0,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:43:36,960.9662520999846,formal_punish_FA,punish_MS,2,24,14,0.75,3.52265100000659,1,1,6,null
50,1440p_flscr,1,null,null,2025-03-27_19:43:46,970.4235508999845,formal_punish_FA,punish_MS,2,25,10,0.75,3.4388214999926277,0,1,1,null
50,1440p_flscr,1,null,null,2025-03-27_19:43:55,979.2249808999768,formal_punish_FA,punish_MS,2,26,11,0.75,2.7741059999971185,0,1,1,null
50,1440p_flscr,1,null,null,2025-03-27_19:44:03,987.1421907999902,formal_punish_FA,punish_MS,2,27,15,0.75,2.61253049998777,1,1,3,null
50,1440p_flscr,1,null,null,2025-03-27_19:44:10,994.8499014999834,formal_punish_FA,punish_MS,2,28,16,0.75,2.346115099993767,1,1,1,null
50,1440p_flscr,1,null,null,2025-03-27_19:44:19,1003.8851008999918,formal_punish_FA,punish_MS,2,29,12,0.75,1.597370499977842,0,1,1,null
50,1440p_flscr,1,null,null,2025-03-27_19:44:29,1013.2399022999743,formal_punish_FA,punish_MS,2,30,13,0.75,3.974383199994918,0,0,-2,null
50,1440p_flscr,1,null,null,2025-03-27_19:44:36,1020.5292877999891,formal_punish_FA,punish_MS,2,31,14,0.75,1.9595017000101507,0,1,1,null
50,1440p_flscr,1,null,null,2025-03-27_19:44:45,1029.4412619999785,formal_punish_FA,punish_MS,2,32,15,0.75,1.3586125999863725,0,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:44:52,1037.0367269999988,formal_punish_FA,punish_MS,2,33,17,0.75,2.245272100000875,1,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:45:03,1047.5797845999768,formal_punish_FA,punish_MS,2,34,18,0.75,4.128944899974158,1,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:45:11,1056.0439212999772,formal_punish_FA,punish_MS,2,35,19,0.75,2.9398496999929193,1,1,1,null
50,1440p_flscr,1,null,null,2025-03-27_19:45:20,1064.1660754999903,formal_punish_FA,punish_MS,2,36,16,0.75,2.7494234000041615,0,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:45:27,1071.7475319999794,formal_punish_FA,punish_MS,2,37,20,0.75,2.396589899988612,1,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:45:34,1079.0695300999796,formal_punish_FA,punish_MS,2,38,17,0.75,2.0540358000143897,0,1,1,null
50,1440p_flscr,1,null,null,2025-03-27_19:45:44,1088.7732640999893,formal_punish_FA,punish_MS,2,39,21,0.75,3.1554928999976255,1,1,4,null
50,1440p_flscr,1,null,null,2025-03-27_19:45:56,1100.3879879000015,formal_punish_FA,punish_MS,2,40,18,0.75,4.156782300007762,0,1,1,null
50,1440p_flscr,1,null,null,2025-03-27_19:46:03,1107.9574612999859,formal_punish_FA,punish_MS,2,41,19,0.75,2.2988546999986283,0,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:46:11,1115.4201629000017,formal_punish_FA,punish_MS,2,42,20,0.75,2.145570599997882,0,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:46:18,1122.6366156000004,formal_punish_FA,punish_MS,2,43,21,0.75,2.0258336999977473,0,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:46:25,1129.1574703999795,formal_punish_FA,punish_MS,2,44,22,0.75,1.3044796999893151,1,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:46:32,1136.4082446999964,formal_punish_FA,punish_MS,2,45,22,0.75,1.7778497000108473,0,1,1,null
50,1440p_flscr,1,null,null,2025-03-27_19:46:40,1144.335064199986,formal_punish_FA,punish_MS,2,46,23,0.75,2.4310671999992337,1,1,1,null
50,1440p_flscr,1,null,null,2025-03-27_19:46:47,1151.9501144999813,formal_punish_FA,punish_MS,2,47,24,0.75,2.3876177000056487,1,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:46:56,1160.4626086999779,formal_punish_FA,punish_MS,2,48,23,0.75,2.2528311999922153,0,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:47:04,1168.7445453999972,formal_punish_FA,punish_MS,2,49,24,0.75,2.585871799994493,0,1,3,null
50,1440p_flscr,1,null,null,2025-03-27_19:49:00,1284.3438437999866,formal_punish_MS,punish_FA,3,0,0,0.75,6.082424799998989,1,1,2,null
